A4GALT	ENSG00000128274
AAAS	ENSG00000094914
AAGAB	ENSG00000103591
AARS2	ENSG00000124608
AARS	ENSG00000090861
AASS	ENSG00000008311
ABAT	ENSG00000183044
ABCA12	ENSG00000144452
ABCA1	ENSG00000165029
ABCA3	ENSG00000167972
ABCA4	ENSG00000198691
ABCA7	ENSG00000064687
ABCB11	ENSG00000276582
ABCB1	ENSG00000085563
ABCB4	ENSG00000005471
ABCB6	ENSG00000115657
ABCB7	ENSG00000131269
ABCC11	ENSG00000121270
ABCC2	ENSG00000023839
ABCC6	ENSG00000275331
ABCC8	ENSG00000006071
ABCC9	ENSG00000069431
ABCD1	ENSG00000101986
ABCD3	ENSG00000117528
ABCD4	ENSG00000119688
ABCG2	ENSG00000118777
ABCG5	ENSG00000138075
ABCG8	ENSG00000143921
ABHD11-AS1	
ABHD12	ENSG00000100997
ABHD5	ENSG00000011198
ABL1	ENSG00000097007
ABO	ENSG00000175164
ACAD8	ENSG00000151498
ACAD9	ENSG00000177646
ACADM	ENSG00000117054
ACADSB	ENSG00000196177
ACADS	ENSG00000122971
ACADVL	ENSG00000072778
ACAN	ENSG00000157766
ACAT1	ENSG00000075239
ACD	ENSG00000102977
ACE	ENSG00000159640
ACHE	ENSG00000087085
ACO2	ENSG00000100412
ACOX1	ENSG00000161533
ACP5	ENSG00000102575
ACSF3	ENSG00000176715
ACSL4	ENSG00000068366
ACSL6	ENSG00000164398
ACTA1	ENSG00000143632
ACTA2	ENSG00000107796
ACTB	ENSG00000075624
ACTC1	ENSG00000159251
ACTG1	ENSG00000184009
ACTG2	ENSG00000163017
ACTN1	ENSG00000072110
ACTN2	ENSG00000077522
ACTN3	ENSG00000248746
ACTN4	ENSG00000130402
ACVR1B	ENSG00000135503
ACVR1	ENSG00000115170
ACVR2B	ENSG00000114739
ACVRL1	ENSG00000139567
ACY1	ENSG00000243989
ADA	ENSG00000196839
ADAM10	ENSG00000137845
ADAM17	ENSG00000151694
ADAM9	ENSG00000282230
ADAMTS10	ENSG00000142303
ADAMTS13	ENSG00000160323
ADAMTS17	ENSG00000140470
ADAMTS18	ENSG00000140873
ADAMTS2	ENSG00000087116
ADAMTSL2	ENSG00000197859
ADAMTSL4	ENSG00000143382
ADAR	ENSG00000160710
ADAT3	ENSG00000213638
ADCK3	ENSG00000163050
ADCK4	ENSG00000123815
ADCY10	ENSG00000143199
ADCY1	ENSG00000164742
ADCY5	ENSG00000173175
ADCY6	ENSG00000174233
ADD1	ENSG00000087274
ADGRE2	ENSG00000127507
ADGRV1	ENSG00000164199
ADH1B	ENSG00000196616
ADH1C	ENSG00000248144
ADIPOQ	ENSG00000181092
ADK	ENSG00000156110
ADNP	ENSG00000101126
ADRA2B	ENSG00000274286
ADRA2C	ENSG00000184160
ADRB1	ENSG00000043591
ADRB2	ENSG00000169252
ADRB3	ENSG00000188778
ADSL	ENSG00000239900
AFF2	ENSG00000155966
AFF4	ENSG00000072364
AFG3L2	ENSG00000141385
AFP	ENSG00000081051
AGA	ENSG00000038002
AGBL1	ENSG00000166748
AGK	ENSG00000262327
AGL	ENSG00000162688
AGPAT2	ENSG00000169692
AGPS	ENSG00000018510
AGRN	ENSG00000188157
AGRP	ENSG00000159723
AGT	ENSG00000135744
AGTR1	ENSG00000144891
AGXT	ENSG00000172482
AHCY	ENSG00000101444
AHDC1	ENSG00000126705
AHI1	ENSG00000135541
AICDA	ENSG00000111732
AIFM1	ENSG00000156709
AIM1	ENSG00000112297
AIMP1	ENSG00000164022
AIP	ENSG00000110711
AIPL1	ENSG00000129221
AIRE	ENSG00000160224
AK1	ENSG00000106992
AK2	ENSG00000004455
AKAP10	ENSG00000108599
AKAP9	ENSG00000127914
AKR1C2	ENSG00000151632
AKR1C4	ENSG00000198610
AKR1D1	ENSG00000122787
AKT1	ENSG00000142208
AKT2	ENSG00000105221
AKT3	ENSG00000275199
ALAD	ENSG00000148218
ALAS2	ENSG00000158578
ALB	ENSG00000163631
ALDH18A1	ENSG00000059573
ALDH1A3	ENSG00000184254
ALDH2	ENSG00000111275
ALDH3A2	ENSG00000072210
ALDH4A1	ENSG00000159423
ALDH5A1	ENSG00000112294
ALDH6A1	ENSG00000119711
ALDH7A1	ENSG00000164904
ALDOA	ENSG00000149925
ALDOB	ENSG00000136872
ALG10	ENSG00000139133
ALG11	ENSG00000253710
ALG12	ENSG00000182858
ALG13	ENSG00000101901
ALG14	ENSG00000172339
ALG1	ENSG00000033011
ALG2	ENSG00000119523
ALG3	ENSG00000214160
ALG6	ENSG00000088035
ALG8	ENSG00000159063
ALG9	ENSG00000086848
ALK	ENSG00000171094
ALMS1	ENSG00000116127
ALOX12B	ENSG00000179477
ALOX5AP	ENSG00000132965
ALOX5	ENSG00000275565
ALOXE3	ENSG00000179148
ALPL	ENSG00000162551
ALS2	ENSG00000003393
ALX1	ENSG00000180318
ALX3	ENSG00000156150
ALX4	ENSG00000052850
AMACR	ENSG00000242110
AMBN	ENSG00000178522
AMELX	ENSG00000125363
AMER1	ENSG00000184675
AMH	ENSG00000104899
AMHR2	ENSG00000135409
AMN	ENSG00000166126
AMPD1	ENSG00000116748
AMPD2	ENSG00000116337
AMPD3	ENSG00000133805
AMT	ENSG00000145020
ANG	ENSG00000214274
ANGPTL3	ENSG00000132855
ANGPTL4	ENSG00000167772
ANK1	ENSG00000029534
ANK2	ENSG00000145362
ANK3	ENSG00000151150
ANKH	ENSG00000154122
ANKK1	ENSG00000170209
ANKLE2	ENSG00000176915
ANKRD11	ENSG00000167522
ANKRD26	ENSG00000107890
ANKS6	ENSG00000165138
ANLN	ENSG00000011426
ANO10	ENSG00000160746
ANO3	ENSG00000134343
ANO5	ENSG00000171714
ANO6	ENSG00000177119
ANTXR1	ENSG00000169604
ANTXR2	ENSG00000163297
ANXA5	ENSG00000164111
AP1S1	ENSG00000106367
AP1S2	ENSG00000182287
AP1S3	ENSG00000152056
AP2S1	ENSG00000042753
AP3B1	ENSG00000132842
AP4B1	ENSG00000134262
AP4E1	ENSG00000081014
AP4M1	ENSG00000221838
AP4S1	ENSG00000100478
AP5Z1	ENSG00000242802
APBB2	ENSG00000163697
APCDD1	ENSG00000154856
APC	ENSG00000134982
APOA1	ENSG00000118137
APOA2	ENSG00000158874
APOA5	ENSG00000110243
APOB	ENSG00000084674
APOC2	ENSG00000224916
APOC3	ENSG00000110245
APOE	ENSG00000130203
APOL1	ENSG00000100342
APOPT1	ENSG00000256053
APP	ENSG00000142192
APPL1	ENSG00000157500
APRT	ENSG00000198931
APTX	ENSG00000137074
AQP1	ENSG00000240583
AQP2	ENSG00000167580
AQP3	ENSG00000165272
AQP5	ENSG00000161798
AQP7	ENSG00000165269
ARC	ENSG00000198576
AR	ENSG00000169083
ARFGEF2	ENSG00000124198
ARG1	ENSG00000118520
ARHGAP26	ENSG00000145819
ARHGAP31	ENSG00000031081
ARHGDIA	ENSG00000141522
ARHGEF10	ENSG00000104728
ARHGEF6	ENSG00000129675
ARHGEF9	ENSG00000131089
ARID1A	ENSG00000117713
ARID1B	ENSG00000049618
ARL13B	ENSG00000169379
ARL2BP	ENSG00000102931
ARL6	ENSG00000113966
ARL6IP1	ENSG00000170540
ARMC4	ENSG00000169126
ARMC5	ENSG00000140691
ARNT2	ENSG00000172379
ARSA	ENSG00000100299
ARSB	ENSG00000113273
ARSE	ENSG00000157399
ART4	ENSG00000111339
ARX	ENSG00000004848
ASAH1	ENSG00000104763
ASB10	ENSG00000146926
ASCC1	ENSG00000138303
ASCL1	ENSG00000139352
ASIP	ENSG00000101440
ASL	ENSG00000126522
ASNS	ENSG00000070669
ASPA	ENSG00000108381
ASPH	ENSG00000198363
ASPM	ENSG00000066279
ASPN	ENSG00000106819
ASPSCR1	ENSG00000169696
ASS1	ENSG00000130707
ASXL1	ENSG00000171456
ASXL3	ENSG00000141431
ATCAY	ENSG00000167654
ATF6	ENSG00000118217
ATG16L1	ENSG00000085978
ATIC	ENSG00000138363
ATL1	ENSG00000198513
ATL3	ENSG00000184743
ATM	ENSG00000149311
ATN1	ENSG00000111676
ATOH7	ENSG00000179774
ATP13A2	ENSG00000159363
ATP1A2	ENSG00000018625
ATP1A3	ENSG00000105409
ATP2A1	ENSG00000196296
ATP2A2	ENSG00000174437
ATP2B2	ENSG00000157087
ATP2B3	ENSG00000067842
ATP2C1	ENSG00000017260
ATP5A1	ENSG00000152234
ATP5E	ENSG00000124172
ATP6AP2	ENSG00000182220
ATP6V0A2	ENSG00000185344
ATP6V0A4	ENSG00000105929
ATP7A	ENSG00000165240
ATP7B	ENSG00000123191
ATP8A2	ENSG00000132932
ATP8B1	ENSG00000081923
ATPAF2	ENSG00000171953
ATR	ENSG00000175054
ATRX	ENSG00000085224
ATXN10	ENSG00000130638
ATXN1	ENSG00000124788
ATXN2	ENSG00000204842
ATXN3	ENSG00000066427
ATXN7	ENSG00000163635
ATXN8	
ATXN8OS	
AUH	ENSG00000148090
AURKA	ENSG00000087586
AVP	ENSG00000101200
AVPR2	ENSG00000126895
AXIN1	ENSG00000103126
AXIN2	ENSG00000168646
B2M	ENSG00000273686
B3GALNT2	ENSG00000162885
B3GALT6	ENSG00000176022
B3GAT3	ENSG00000149541
B3GLCT	ENSG00000187676
B4GALNT1	ENSG00000135454
B4GALT1	ENSG00000086062
B4GALT7	ENSG00000027847
B9D1	ENSG00000108641
B9D2	ENSG00000123810
BAAT	ENSG00000136881
BACH1	ENSG00000156273
BAG3	ENSG00000151929
BANF1	ENSG00000175334
BAP1	ENSG00000163930
BARD1	ENSG00000138376
BAX	ENSG00000087088
BBIP1	ENSG00000214413
BBS10	ENSG00000179941
BBS12	ENSG00000181004
BBS1	ENSG00000174483
BBS2	ENSG00000125124
BBS4	ENSG00000140463
BBS5	ENSG00000163093
BBS7	ENSG00000138686
BBS9	ENSG00000122507
BCAM	ENSG00000187244
BCAP31	ENSG00000185825
BCHE	ENSG00000114200
BCKDHA	ENSG00000248098
BCKDHB	ENSG00000083123
BCKDK	ENSG00000103507
BCL10	ENSG00000142867
BCL2	ENSG00000171791
BCL7A	ENSG00000110987
BCO1	ENSG00000135697
BCOR	ENSG00000183337
BCR	ENSG00000186716
BCS1L	ENSG00000074582
BDNF-AS	ENSG00000245573
BDNF	ENSG00000176697
BEST1	ENSG00000167995
BFSP1	ENSG00000125864
BFSP2	ENSG00000170819
BHLHA9	ENSG00000205899
BHLHE41	ENSG00000123095
