# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at http://omim.org/help/agreement.
# Generated: 2016-05-26
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
1.1	5	13	13	1pter-p36.13	CTRCT8, CCV	P	Cataract, congenital, Volkmann type	115665	Fd	linked to Rh in Scottish family	Cataract 8, multiple types (2)	
1.2	9	25	01	1p36.23	ENO1, PPH, MPB1	C	Enolase-1, alpha	172430	S, F, R, REa		Enolase deficiency (1)	4(Eno1)
1.3	12	22	87	1pter-p36	ERPL1, HLM2	C	Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)	131190	REa, F			
1.4	4	14	11	1p36.11	HMGCL	P	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	613898	REa, A		HMG-CoA lyase deficiency, 246450 (3)	4(Hmgcl)
1.5	4	30	15	1p36.33	AGRN, CMS8	P	Agrin	103320	REa		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3)	4(Agrn)
1.6	3	15	92	1p36.33	GNB1	C	Guanine nucleotide-binding protein, beta polypeptide-1	139380	REa, A			4(Gnb1)
1.7	10	2	07	1p35.2	SDC3, SYND3, SDCN	C	Syndecan 3	186357	REc, R, H		{Obesity, association with}, 601665 (3)	4(Synd3)
1.8	8	28	98	1pter-p22.1	SAI1, MTS1, TFS1	C	Suppression of anchorage independence-1 (malignant transformation suppression-1)	154280	S, H			4(Tfs1)
1.9	10	6	08	1p36.33	ATAD3A	P	ATPase family, AAA domain-containing, member 3A	612316	REc			
1.10	10	6	08	1p36.33	ATAD3B, TOB3, KIAA1273	C	ATPase family, AAA domain-containing, member 3B	612317	R, REc			
1.11	5	6	13	1p36.33	C1orf86, FAAP20	P	Chromosome 1 open reading frame 86	615183	REc			
1.12	7	3	06	1p36.33	CALML6, CAGLP	P	Calmodulin-like 6	610171	REc			
1.13	9	30	10	1p36.33	CCNL2	P	Cyclin L2	613482	REc			4(Ccnl2)
1.14	3	23	14	1p36.33	CPSF3L, INTS11, RC68	P	Cleavage and polyadenylation-specific factor 3-like	611354	REc			
1.15	10	13	15	1p36.33	FAM132A, C1QDC2, C1QTNF12	P	Family with sequence similarity 132, member A	616593	REc			
1.16	11	1	13	1p36.33	GLTPD1, CPTP	P	Glycolipid transfer protein domain-containing protein 1	615467	REc			
1.17	12	19	14	1p36.33	ISG15, G1P2, IFI15, IMD38	P	ISG15 ubiquitin-like modifier	147571	REa, REc		Immunodeficiency 38, 616126 (3)	
1.18	3	23	09	1p36.33	MIR200A, MIRN200A	P	Micro RNA 200A	612090	REc			
1.19	3	23	09	1p36.33	MIR200B, MIRN200B	P	Micro RNA 200B	612091	REc			
1.20	3	23	09	1p36.33	MIR429, MIRN429	P	Micro RNA 429	612094	REc			
1.21	2	20	07	1p36.33	NOC2L, NIR	P	Nucleolar complex-associated protein 2, S. cerevisiae, homolog of	610770	REc			
1.22	8	18	14	1p36.33	PERM1, C1orf170	P	PPARGC1-and ESRR-induced regulator, muscle, 1	615921	REc			
1.23	1	21	16	1p36.33	SAMD11, MRS	P	Sterile alpha motif domain-containing protein 11	616765	REc			
1.24	10	10	11	1p36.33	SDF4, CAB45	P	Stromal cell-derived factor 4	614282	REc			
1.25	4	24	01	1p36.33	TAS1R3, T1R3	C	Taste receptor type 1, member 3	605865	REn, REc			4(Tas1r3)
1.26	12	2	14	1p36.33	TMEM240, C1orf70, SCA21	C	Transmembrane protein 240	616101	REc, Fd		Spinocerebellar ataxia 21, 607454 (3)	
1.27	10	27	89	1p36.23	CA6	C	Carbonic anhydrase VI	114780	REa, A, REc, R			
1.28	2	18	08	1p36.33	NADK	P	NAD kinase	611616	REc			
1.29	4	4	16	1p36.23	PER3, FASPS3	P	Period, Drosophila, homolog of, 3	603427	REc	mutation identified in 1 FASPS3 family	?Advanced sleep phase syndrome, familial, 3, 616882 (3)	
1.30	7	18	06	1p36.32	ACTRT2, ARPT2, ARPM2	P	Actin-related protein T2	608535	REc			
1.31	5	21	07	1p36.32	AJAP1, SHREW1	P	Adherens junction-associated protein 1	610972	R, REc			
1.32	2	2	16	1p36.32	CEP104, GLYBP, KIAA0562, JBTS25	C	Centrosomal protein, 104kD	616690	R, REc		Joubert syndrome 25, 616781 (3)	
1.33	8	29	13	1p36.33	MIB2	C	Mindbonb, Drosophila, homolog of, 2	611141	A, REc			
1.34	4	8	13	1p36.32	MIR551A	P	Micro RNA 551A	615148	REc			
